Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	406632.0	1000	800	25.0	0.001
629744.0	440971.0	1000	800	25.0	0.01
629744.0	406905.0	1000	800	25.0	0.1
629744.0	440626.0	1000	800	25.0	1.0
629744.0	394718.0	1000	800	125.0	0.001
629744.0	449668.0	1000	800	125.0	0.01
629744.0	394644.0	1000	800	125.0	0.1
629744.0	427169.0	1000	800	125.0	1.0
629744.0	447880.0	1000	900	1.0	0.001
629744.0	397068.0	1000	900	1.0	0.01
629744.0	408904.0	1000	900	1.0	0.1
629744.0	451623.0	1000	900	1.0	1.0
629744.0	421432.0	1000	900	5.0	0.001
629744.0	398371.0	1000	900	5.0	0.01
629744.0	371343.0	1000	900	5.0	0.1
629744.0	379421.0	1000	900	5.0	1.0
629744.0	429237.0	1000	900	25.0	0.001
629744.0	403497.0	1000	900	25.0	0.01
629744.0	396801.0	1000	900	25.0	0.1
629744.0	413802.0	1000	900	25.0	1.0
629744.0	422751.0	1000	900	125.0	0.001
629744.0	415638.0	1000	900	125.0	0.01
629744.0	365331.0	1000	900	125.0	0.1
629744.0	384929.0	1000	900	125.0	1.0
629744.0	408438.0	1000	1000	1.0	0.001
629744.0	386329.0	1000	1000	1.0	0.01
629744.0	397832.0	1000	1000	1.0	0.1
629744.0	378648.0	1000	1000	1.0	1.0
629744.0	401031.0	1000	1000	5.0	0.001
629744.0	389959.0	1000	1000	5.0	0.01
629744.0	363229.0	1000	1000	5.0	0.1
629744.0	391903.0	1000	1000	5.0	1.0
629744.0	402862.0	1000	1000	25.0	0.001
629744.0	487745.0	1000	1000	25.0	0.01
629744.0	378292.0	1000	1000	25.0	0.1
629744.0	448597.0	1000	1000	25.0	1.0
629744.0	421216.0	1000	1000	125.0	0.001
629744.0	401872.0	1000	1000	125.0	0.01
629744.0	400491.0	1000	1000	125.0	0.1
629744.0	393749.0	1000	1000	125.0	1.0
629744.0	358643.0	2000	100	1.0	0.001
629744.0	335254.0	2000	100	1.0	0.01
629744.0	346321.0	2000	100	1.0	0.1
629744.0	420042.0	2000	100	1.0	1.0
629744.0	354056.0	2000	100	5.0	0.001
629744.0	331722.0	2000	100	5.0	0.01
629744.0	339217.0	2000	100	5.0	0.1
629744.0	428549.0	2000	100	5.0	1.0
629744.0	326662.0	2000	100	25.0	0.001
629744.0	335561.0	2000	100	25.0	0.01
629744.0	321821.0	2000	100	25.0	0.1
629744.0	456239.0	2000	100	25.0	1.0
629744.0	327034.0	2000	100	125.0	0.001
629744.0	363013.0	2000	100	125.0	0.01
629744.0	323663.0	2000	100	125.0	0.1
629744.0	392559.0	2000	100	125.0	1.0
629744.0	339748.0	2000	200	1.0	0.001
629744.0	376598.0	2000	200	1.0	0.01
629744.0	353386.0	2000	200	1.0	0.1
