Information	Total iterations	Partial iterations	k	lambda
265.0	5000	900	1.0	0.1
265.0	5000	900	1.0	1.0
263.0	5000	900	5.0	0.001
260.0	5000	900	5.0	0.01
263.0	5000	900	5.0	0.1
262.0	5000	900	5.0	1.0
265.0	5000	900	25.0	0.001
264.0	5000	900	25.0	0.01
259.0	5000	900	25.0	0.1
265.0	5000	900	25.0	1.0
263.0	5000	900	125.0	0.001
265.0	5000	900	125.0	0.01
265.0	5000	900	125.0	0.1
262.0	5000	900	125.0	1.0
265.0	5000	1000	1.0	0.001
263.0	5000	1000	1.0	0.01
260.0	5000	1000	1.0	0.1
265.0	5000	1000	1.0	1.0
258.0	5000	1000	5.0	0.001
265.0	5000	1000	5.0	0.01
259.0	5000	1000	5.0	0.1
265.0	5000	1000	5.0	1.0
265.0	5000	1000	25.0	0.001
264.0	5000	1000	25.0	0.01
265.0	5000	1000	25.0	0.1
265.0	5000	1000	25.0	1.0
265.0	5000	1000	125.0	0.001
263.0	5000	1000	125.0	0.01
256.0	5000	1000	125.0	0.1
265.0	5000	1000	125.0	1.0
255.0	6000	100	1.0	0.001
261.0	6000	100	1.0	0.01
265.0	6000	100	1.0	0.1
265.0	6000	100	1.0	1.0
260.0	6000	100	5.0	0.001
263.0	6000	100	5.0	0.01
262.0	6000	100	5.0	0.1
264.0	6000	100	5.0	1.0
262.0	6000	100	25.0	0.001
260.0	6000	100	25.0	0.01
265.0	6000	100	25.0	0.1
257.0	6000	100	25.0	1.0
